word,decade,count,appear,topic,ps_articles,ps_words,t20_count,t20_appear,t20_topic,t20_articles,t20_words
agents,2000s,3169,314,104,868,7141270,21786,2247,636,7266,67070891
agents,2010s,8470,740,244,1678,14295950,40236,3453,1111,8647,84731684
agree,1980s,468,227,4,584,3177602,6589,2938,38,6430,46072214
agree,1990s,853,358,3,643,4529684,8079,3281,62,6242,52955592
agree,2000s,1251,511,7,868,7141270,9773,3919,64,7266,67070891
agree,2010s,2708,1019,31,1678,14295950,13043,4821,136,8647,84731684
agreement,1980s,181,91,2,584,3177602,4467,1467,83,6430,46072214
agreement,1990s,261,111,2,643,4529684,5224,1578,93,6242,52955592
agreement,2000s,391,170,8,868,7141270,4536,1637,74,7266,67070891
agreement,2010s,1006,341,18,1678,14295950,5996,1999,91,8647,84731684
aim,1980s,268,116,4,584,3177602,4017,1791,47,6430,46072214
aim,1990s,496,169,12,643,4529684,5925,2218,82,6242,52955592
aim,2000s,1099,319,14,868,7141270,8231,2962,103,7266,67070891
aim,2010s,3060,796,40,1678,14295950,15007,4472,191,8647,84731684
aims,1980s,120,61,1,584,3177602,2548,1026,35,6430,46072214
aims,1990s,205,97,1,643,4529684,3066,1230,38,6242,52955592
aims,2000s,528,172,7,868,7141270,3914,1663,50,7266,67070891
aims,2010s,1366,485,16,1678,14295950,6454,2558,79,8647,84731684
alice,1980s,79,11,3,584,3177602,626,111,11,6430,46072214
alice,1990s,64,21,1,643,4529684,707,168,21,6242,52955592
alice,2000s,274,37,10,868,7141270,1545,269,47,7266,67070891
alice,2010s,595,62,18,1678,14295950,2910,351,82,8647,84731684
alleged,1980s,245,117,3,584,3177602,2324,1303,14,6430,46072214
alleged,1990s,249,147,0,643,4529684,2430,1343,12,6242,52955592
alleged,2000s,471,221,3,868,7141270,3081,1595,16,7266,67070891
alleged,2010s,794,333,7,1678,14295950,3392,1688,23,8647,84731684
allow,1980s,639,296,2,584,3177602,7362,3176,40,6430,46072214
allow,1990s,941,339,8,643,4529684,8966,3487,70,6242,52955592
allow,2000s,1439,521,11,868,7141270,11794,4352,103,7266,67070891
allow,2010s,2772,1057,13,1678,14295950,14550,5428,115,8647,84731684
allows,1980s,426,226,2,584,3177602,4945,2600,16,6430,46072214
allows,1990s,565,268,2,643,4529684,6608,2979,31,6242,52955592
allows,2000s,1145,487,7,868,7141270,10093,4071,69,7266,67070891
allows,2010s,2518,1007,12,1678,14295950,14132,5267,110,8647,84731684
almost,1980s,241,146,0,584,3177602,4615,2283,18,6430,46072214
almost,1990s,395,226,2,643,4529684,5092,2498,30,6242,52955592
almost,2000s,561,307,0,868,7141270,6167,2952,30,7266,67070891
almost,2010s,1252,595,4,1678,14295950,7142,3279,46,8647,84731684
alone,1980s,406,212,0,584,3177602,5856,2790,27,6430,46072214
alone,1990s,619,286,2,643,4529684,6393,2913,35,6242,52955592
alone,2000s,761,380,2,868,7141270,7569,3472,38,7266,67070891
alone,2010s,1443,740,3,1678,14295950,8347,3904,46,8647,84731684
along,1980s,449,242,2,584,3177602,5761,2840,19,6430,46072214
along,1990s,727,333,2,643,4529684,7101,3149,40,6242,52955592
along,2000s,1102,481,8,868,7141270,9654,3994,72,7266,67070891
along,2010s,2327,1024,9,1678,14295950,12305,5060,98,8647,84731684
already,1980s,769,319,6,584,3177602,11874,3999,124,6430,46072214
already,1990s,1247,415,15,643,4529684,13367,4111,178,6242,52955592
already,2000s,1834,576,21,868,7141270,16222,4912,217,7266,67070891
already,2010s,3288,1159,26,1678,14295950,19165,6050,237,8647,84731684
also,1980s,4566,561,169,584,3177602,61303,6132,2570,6430,46072214
also,1990s,6592,633,286,643,4529684,72759,6049,3092,6242,52955592
also,2000s,10923,860,497,868,7141270,95340,7091,4066,7266,67070891
also,2010s,24252,1667,1098,1678,14295950,132250,8565,5723,8647,84731684
alternative,1980s,998,285,14,584,3177602,11054,3345,181,6430,46072214
alternative,1990s,1255,366,19,643,4529684,12704,3598,215,6242,52955592
alternative,2000s,2324,531,41,868,7141270,15855,4284,274,7266,67070891
alternative,2010s,4869,1132,86,1678,14295950,24025,5692,439,8647,84731684
alternatives,1980s,371,117,8,584,3177602,4465,1527,73,6430,46072214
alternatives,1990s,444,148,8,643,4529684,4378,1610,75,6242,52955592
alternatives,2000s,1190,237,25,868,7141270,6138,1802,112,7266,67070891
alternatives,2010s,1602,438,28,1678,14295950,9557,2281,172,8647,84731684
although,1980s,1250,378,16,584,3177602,16219,4303,283,6430,46072214
although,1990s,1757,456,25,643,4529684,18180,4447,362,6242,52955592
although,2000s,2653,616,55,868,7141270,23172,5217,522,7266,67070891
although,2010s,4791,1148,98,1678,14295950,28012,6285,651,8647,84731684
always,1980s,993,365,5,584,3177602,15583,4493,217,6430,46072214
always,1990s,1376,477,14,643,4529684,17110,4592,256,6242,52955592
always,2000s,1989,616,26,868,7141270,19227,5291,306,7266,67070891
always,2010s,4058,1200,56,1678,14295950,23841,6472,367,8647,84731684
ambiguity,1980s,282,91,4,584,3177602,2764,963,42,6430,46072214
ambiguity,1990s,179,91,1,643,4529684,2618,967,36,6242,52955592
ambiguity,2000s,494,134,11,868,7141270,3003,1073,50,7266,67070891
